sequence,input0_bits,input1_bits,input2_bits,input3_bits,output_bits,actuator_permille,wall_ns,device_us
1,3f000000,3ea00000,00000000,00000000,3f738000,951,22871625,16662
2,3efd46b2,3ea00000,3e883127,3f7374bc,3f7dc000,991,2006083,1915
3,3efa708f,3ea00000,3e8dd2f2,3f7db22d,3f7c8000,986,1914500,1826
4,3ef7a249,3ea00000,3e8c49ba,3f7c6a7f,3f7aa000,979,1813292,1726
5,3ef4de7f,3ea00000,3e8a3d71,3f7a9fbe,3f78e000,972,1772750,1685
6,3ef21ff3,3ea00000,3e89374c,3f78d4fe,3f770000,965,1706833,1619
7,3eef6944,3ea00000,3e87ae14,3f770a3d,3f752000,958,1680000,1593
8,3eecba73,3ea00000,3e8624dd,3f753f7d,3f736000,951,1681750,1594
9,3eea137f,3ea00000,3e849ba6,3f7374bc,3f71a000,944,1677666,1591
10,3ee77708,3ea00000,3e828f5c,3f71a9fc,3f700000,938,1679125,1591
11,3ee4dfce,3ea00000,3e818937,3f7020c5,3f6e4000,931,1679125,1591
12,3ee25072,3ea00000,3e800000,3f6e5604,3f6c8000,924,1685833,1599
13,3edfc654,3ea00000,3e7df3b6,3f6c8b44,3f6ac000,917,1678833,1592
14,3edd46b2,3ea00000,3e79db23,3f6ac083,3f692000,911,1678250,1590
15,3edaceee,3ea00000,3e76c8b4,3f69374c,3f678000,904,1679709,1592
16,3ed85c68,3ea00000,3e74bc6a,3f676c8b,3f65e000,898,1679125,1592
17,3ed5f1bf,3ea00000,3e71a9fc,3f65e354,3f644000,892,1677667,1590
18,3ed38ef3,3ea00000,3e6e978d,3f645a1d,3f62a000,885,1677959,1591
19,3ed13166,3ea00000,3e6c8b44,3f628f5c,3f612000,879,1677083,1591
20,3ecede55,3ea00000,3e6872b0,3f610625,3f5fa000,874,1677958,1591
21,3ecc8de3,3ea00000,3e676c8b,3f5fbe77,3f5e0000,867,1679417,1593
22,3eca454e,3ea00000,3e645a1d,3f5df3b6,3f5c8000,861,1683792,1597
23,3ec80496,3ea00000,3e6147ae,3f5c6a7f,3f5b0000,855,1679416,1592
24,3ec5cbbc,3ea00000,3e5e353f,3f5ae148,3f598000,850,1676500,1589
25,3ec39581,3ea00000,3e5d2f1b,3f59999a,3f580000,844,1676791,1589
26,3ec169c2,3ea00000,3e591687,3f581062,3f56a000,838,1715291,1625
27,3ebf4342,3ea00000,3e570a3d,3f56872b,3f552000,833,1721416,1632
28,3ebd21ff,3ea00000,3e54fdf4,3f553f7d,3f53c000,827,1727833,1638
29,3ebb05fb,3ea00000,3e52f1aa,3f53b646,3f526000,822,1726666,1638
30,3eb8f1d4,3ea00000,3e4fdf3b,3f526e98,3f510000,816,1724042,1635
31,3eb6e2eb,3ea00000,3e4dd2f2,3f50e560,3f4fa000,811,1724334,1635
32,3eb4dbe0,3ea00000,3e4ac083,3f4f9db2,3f4e4000,806,1722583,1634
33,3eb2d773,3ea00000,3e49ba5e,3f4e5604,3f4ce000,800,1719958,1630
34,3eb0dd83,3ea00000,3e45a1cb,3f4ccccd,3f4ba000,795,1724041,1637
35,3eaee632,3ea00000,3e449ba6,3f4b851f,3f4a4000,790,1728125,1640
36,3eacf41f,3ea00000,3e428f5c,3f4a3d71,3f490000,785,1725208,1638
37,3eab09ea,3ea00000,3e3f7cee,3f48f5c3,3f47c000,780,1724334,1636
38,3ea924f2,3ea00000,3e3d70a4,3f47ae14,3f468000,775,1723459,1636
39,3ea74539,3ea00000,3e3b645a,3f466666,3f454000,771,1720833,1633
40,3ea5681f,3ea00000,3e3a5e35,3f456042,3f43e000,765,1721125,1633
41,3ea39581,3ea00000,3e3645a2,3f43d70a,3f42e000,761,1723167,1636
42,3ea1c582,3ea00000,3e353f7d,3f42d0e5,3f418000,756,1725792,1638
43,3e9ffac2,3ea00000,3e333333,3f418937,3f406000,751,1724333,1637
44,3e9e353f,3ea00000,3e3126e9,3f404189,3f3f4000,747,1723750,1637
45,3e9c74fb,3ea00000,3e2f1aa0,3f3f3b64,3f3e0000,742,1724333,1636
46,3e9ab9f5,3ea00000,3e2d0e56,3f3df3b6,3f3ce000,738,1726375,1638
47,3e99042e,3ea00000,3e2b020c,3f3ced91,3f3bc000,733,1724625,1637
48,3e9753a4,3ea00000,3e28f5c3,3f3ba5e3,3f3aa000,729,1720542,1634
49,3e95a858,3ea00000,3e26e979,3f3a9fbe,3f398000,725,1720834,1633
50,3e93ffac,3ea00000,3e25e354,3f39999a,3f386000,720,1722875,1635
51,3e925edd,3ea00000,3e22d0e5,3f3851ec,3f376000,716,1715584,1628
52,3e90c0ad,3ea00000,3e21cac1,3f374bc7,3f364000,712,1721416,1634
53,3e8f27bb,3ea00000,3e1fbe77,3f3645a2,3f352000,708,1721709,1634
54,3e8d9408,3ea00000,3e1db22d,3f353f7d,3f342000,704,1716458,1630
55,3e8c0592,3ea00000,3e1ba5e3,3f343958,3f332000,700,1713250,1626
56,3e8a79bc,3ea00000,3e1a9fbe,3f333333,3f322000,696,1709750,1622
57,3e88f323,3ea00000,3e189375,3f322d0e,3f312000,692,1707125,1596
58,3e8771c9,3ea00000,3e16872b,3f3126e9,3f302000,688,1676500,1590
59,3e85f30e,3ea00000,3e158106,3f3020c5,3f2f2000,684,1675917,1589
60,3e847c31,3ea00000,3e126e98,3f2f1aa0,3f2e2000,680,1675917,1589
61,3e830553,3ea00000,3e126e98,3f2e147b,3f2d2000,676,1677083,1591
62,3e819653,3ea00000,3e0f5c29,3f2d0e56,3f2c4000,673,1681458,1594
63,3e8029f1,3ea00000,3e0e5604,3f2c49ba,3f2b4000,669,1675625,1588
64,3e7d805e,3ea00000,3e0d4fdf,3f2b4396,3f2a4000,665,1673584,1587
65,3e7abc94,3ea00000,3e0a3d71,3f2a3d71,3f296000,662,1670959,1584
66,3e77f8cb,3ea00000,3e0a3d71,3f2978d5,3f286000,658,1684084,1597
67,3e7544bb,3ea00000,3e072b02,3f2872b0,3f27a000,655,1677958,1592
68,3e7290ac,3ea00000,3e072b02,3f27ae14,3f26a000,651,1679125,1593
69,3e6fec57,3ea00000,3e041893,3f26a7f0,3f25c000,647,1681166,1594
70,3e6d4d40,3ea00000,3e03126f,3f25a1cb,3f24e000,644,1679709,1593
71,3e6ab368,3ea00000,3e020c4a,3f24dd2f,3f240000,641,1676792,1589
72,3e68240b,3ea00000,3e000000,3f241893,3f234000,638,1684084,1597
73,3e6599ed,3ea00000,3dfdf3b6,3f2353f8,3f226000,634,1680875,1593
74,3e63150e,3ea00000,3dfbe76d,3f224dd3,3f218000,631,1682333,1594
75,3e609aaa,3ea00000,3df7ced9,3f218937,3f20a000,627,1678542,1592
76,3e5e2ac3,3ea00000,3df3b646,3f208312,3f1fe000,625,1679125,1593
77,3e5bc01a,3ea00000,3df1a9fc,3f200000,3f1f2000,622,1673583,1587
78,3e595aaf,3ea00000,3def9db2,3f1f3b64,3f1e4000,618,1682042,1596
79,3e56fa83,3ea00000,3ded9168,3f1e353f,3f1d8000,615,1675041,1588
80,3e54a4d3,3ea00000,3de978d5,3f1d70a4,3f1cc000,612,1678833,1592
81,3e525461,3ea00000,3de76c8b,3f1cac08,3f1be000,609,1676500,1590
82,3e50092d,3ea00000,3de56042,3f1be76d,3f1b2000,606,1683208,1596
83,3e4dc875,3ea00000,3de147ae,3f1b22d1,3f1a6000,603,1677666,1590
84,3e4b8cfc,3ea00000,3ddf3b64,3f1a5e35,3f19a000,600,1682625,1594
85,3e4956c1,3ea00000,3ddd2f1b,3f19999a,3f18e000,597,1678250,1590
86,3e472b02,3ea00000,3dd91687,3f18d4fe,3f184000,595,1682625,1594
87,3e44ff43,3ea00000,3dd91687,3f1851ec,3f178000,592,1676209,1589
88,3e42de01,3ea00000,3dd4fdf4,3f178d50,3f16c000,589,1678833,1592
89,3e40c1fd,3ea00000,3dd2f1aa,3f16c8b4,3f162000,586,1675042,1588
90,3e3eab36,3ea00000,3dd0e560,3f160419,3f156000,583,1680291,1593
91,3e3c9eed,3ea00000,3dcccccd,3f153f7d,3f14c000,581,1675041,1588
92,3e3a92a3,3ea00000,3dcccccd,3f14bc6a,3f140000,578,1685542,1598
93,3e3890d6,3ea00000,3dc8b439,3f13f7cf,3f136000,576,1680000,1593
94,3e369446,3ea00000,3dc6a7f0,3f1374bc,3f12c000,573,1681166,1594
95,3e349cf5,3ea00000,3dc49ba6,3f12b021,3f120000,570,1675334,1588
96,3e32aae3,3ea00000,3dc28f5c,3f11eb85,3f116000,568,1678250,1591
97,3e30be0e,3ea00000,3dc08312,3f116873,3f10c000,565,1675625,1589
98,3e2ed677,3ea00000,3dbe76c9,3f10a3d7,3f102000,563,1682041,1595
99,3e2cf41f,3ea00000,3dbc6a7f,3f1020c5,3f0f8000,561,1676208,1589
100,3e2b1705,3ea00000,3dba5e35,3f0f9db2,3f0ee000,558,1676500,1590
101,3e294467,3ea00000,3db645a2,3f0ed917,3f0e4000,556,1725792,1637
102,3e2771c9,3ea00000,3db645a2,3f0e5604,3f0da000,553,1683209,1596
103,3e25a46a,3ea00000,3db43958,3f0d9168,3f0d0000,551,1679125,1592
104,3e23e187,3ea00000,3db020c5,3f0d0e56,3f0c8000,549,1680875,1593
105,3e221ea3,3ea00000,3db020c5,3f0c8b44,3f0be000,546,1675625,1588
106,3e20663c,3ea00000,3dac0831,3f0bc6a8,3f0b6000,544,1677375,1590
107,3e1eadd6,3ea00000,3dac0831,3f0b4396,3f0ac000,542,1673875,1586
108,3e1cfaad,3ea00000,3da9fbe7,3f0ac083,3f0a2000,540,1680292,1594
109,3e1b4cc2,3ea00000,3da7ef9e,3f0a3d71,3f09a000,538,1674167,1587
110,3e19a416,3ea00000,3da5e354,3f09ba5e,3f092000,536,1680291,1592
111,3e1800a8,3ea00000,3da3d70a,3f09374c,3f088000,533,1705667,1589
112,3e166278,3ea00000,3da1cac1,3f0872b0,3f080000,531,1735708,1627
113,3e14c986,3ea00000,3d9fbe77,3f07ef9e,3f076000,529,1728417,1638
114,3e1335d2,3ea00000,3d9db22d,3f076c8b,3f070000,527,1742125,1652
115,3e11a75d,3ea00000,3d9ba5e3,3f06e979,3f066000,525,1744166,1654
116,3e1018e7,3ea00000,3d9ba5e3,3f066666,3f05e000,523,1746791,1657
117,3e0e94ee,3ea00000,3d978d50,3f05e354,3f056000,521,1740959,1650
