sample,elapsed_ms,target,state_before,control_value,state_after,rtt_ms,model_output,infer_us,mode
1,303,300,300,0,170,268,,,baseline
2,993,300,170,260,183,690,,,baseline
3,1125,300,183,234,181,132,,,baseline
4,1204,300,181,238,182,79,,,baseline
5,1303,300,182,236,182,99,,,baseline
6,1379,300,182,236,182,76,,,baseline
7,1485,300,182,236,182,106,,,baseline
8,1562,300,182,236,182,77,,,baseline
9,1670,300,182,236,182,108,,,baseline
10,1751,300,182,236,182,81,,,baseline
11,1850,300,182,236,182,99,,,baseline
12,1930,300,182,236,182,80,,,baseline
13,2050,300,182,236,182,120,,,baseline
14,2135,300,182,236,332,85,,,baseline
15,2230,300,332,0,338,95,,,baseline
16,2313,300,338,0,342,83,,,baseline
17,2584,300,342,0,344,271,,,baseline
18,2676,300,344,0,345,92,,,baseline
19,2748,300,345,0,346,72,,,baseline
20,2855,300,346,0,346,107,,,baseline
21,3145,300,346,0,346,290,,,baseline
22,3242,300,346,0,346,97,,,baseline
23,3325,300,346,0,346,83,,,baseline
24,3424,300,346,0,346,99,,,baseline
25,3708,300,346,0,346,284,,,baseline
26,3785,300,346,0,346,77,,,baseline
27,3890,300,346,0,346,105,,,baseline
28,3969,300,346,0,346,79,,,baseline
29,4073,300,346,0,346,104,,,baseline
30,4322,300,346,0,346,249,,,baseline
31,4400,300,346,0,346,78,,,baseline
32,4496,300,346,0,346,96,,,baseline
33,4575,300,346,0,346,79,,,baseline
34,4901,300,346,0,346,326,,,baseline
35,4980,300,346,0,346,79,,,baseline
36,5089,300,346,0,346,109,,,baseline
37,5179,800,346,908,663,90,,,baseline
38,5435,800,663,274,610,256,,,baseline
39,5523,800,610,380,621,88,,,baseline
40,5611,800,621,358,618,88,,,baseline
41,5703,800,618,364,620,92,,,baseline
42,5989,800,620,360,618,286,,,baseline
43,6067,800,618,364,620,78,,,baseline
44,6168,800,620,360,618,101,,,baseline
45,6247,800,618,364,620,79,,,baseline
46,6559,800,620,360,618,312,,,baseline
47,6647,800,618,364,620,88,,,baseline
48,6737,800,620,360,618,90,,,baseline
49,6826,800,618,364,620,89,,,baseline
50,7110,800,620,360,618,284,,,baseline
51,7189,800,618,364,620,79,,,baseline
52,7288,800,620,360,618,99,,,baseline
53,7393,800,618,364,620,105,,,baseline
54,7663,800,620,360,618,270,,,baseline
55,7751,800,618,364,620,88,,,baseline
56,7840,800,620,360,618,89,,,baseline
57,7927,800,618,364,620,87,,,baseline
