sample,elapsed_ms,target,state_before,control_value,state_after,rtt_ms,model_output,infer_us,mode
1,313,300,300,24,179,272,24.0,15383,cnn
2,1054,300,179,236,180,741,236.0,12464,cnn
3,1166,300,180,361,225,112,361.0,9702,cnn
4,1272,300,225,381,258,106,381.0,12756,cnn
5,1369,300,258,391,282,97,391.0,10131,cnn
6,1471,300,282,378,291,102,378.0,10138,cnn
7,1569,300,291,377,296,98,377.0,13525,cnn
8,1670,300,296,379,300,101,379.0,10434,cnn
9,1778,300,300,373,300,108,373.0,13411,cnn
10,1877,300,300,374,300,99,374.0,9956,cnn
11,1981,300,300,373,300,104,373.0,9883,cnn
12,2082,300,300,372,300,101,372.0,9921,cnn
13,2186,300,300,371,449,104,371.0,9955,cnn
14,2284,300,449,0,403,98,0.0,10131,cnn
15,2387,300,403,84,408,103,84.0,10645,cnn
16,2486,300,408,0,382,99,0.0,10535,cnn
17,2597,300,382,9,370,111,9.0,10412,cnn
18,2697,300,370,0,360,100,0.0,11219,cnn
19,2796,300,360,2,355,99,2.0,13585,cnn
20,2897,300,355,3,352,101,3.0,10052,cnn
21,2996,300,352,4,352,99,4.0,13636,cnn
22,3096,300,352,4,352,100,4.0,10029,cnn
23,3195,300,352,4,352,99,4.0,10613,cnn
24,3295,300,352,4,352,100,4.0,10705,cnn
25,3394,300,352,4,352,99,4.0,10603,cnn
26,3494,300,352,4,352,100,4.0,10544,cnn
27,3593,300,352,4,352,99,4.0,10092,cnn
28,3703,300,352,4,352,110,4.0,10505,cnn
29,3802,300,352,4,352,99,4.0,10517,cnn
30,3902,300,352,4,352,100,4.0,10693,cnn
31,4001,300,352,4,352,99,4.0,10057,cnn
32,4102,300,352,4,352,101,4.0,10610,cnn
33,4201,300,352,4,352,99,4.0,10099,cnn
34,4302,300,352,4,352,101,4.0,10548,cnn
35,4411,300,352,4,352,109,4.0,13145,cnn
36,4521,300,352,4,352,110,4.0,10559,cnn
37,4619,300,352,4,352,98,4.0,10386,cnn
38,4721,300,352,4,352,102,4.0,10008,cnn
39,4830,300,352,4,352,109,4.0,10000,cnn
40,4929,300,352,4,352,99,4.0,10577,cnn
41,5031,300,352,4,352,102,4.0,10660,cnn
42,5130,800,352,640,573,99,640.0,10640,cnn
43,5229,800,573,645,694,99,645.0,10788,cnn
44,5331,800,694,631,750,102,631.0,10152,cnn
