sample,elapsed_ms,target,state_before,control_value,state_after,rtt_ms,model_output,infer_us,mode
1,490,300,300,24,179,244,24.0,11272,cnn
2,1221,300,179,236,180,731,236.0,618587,cnn
3,1334,300,180,361,225,113,361.0,7746,cnn
4,1433,300,225,381,258,99,381.0,9870,cnn
5,1532,300,258,391,282,99,391.0,7940,cnn
6,1630,300,282,378,291,98,378.0,7662,cnn
7,1727,300,291,377,296,97,377.0,7973,cnn
8,1838,300,296,379,300,111,379.0,7942,cnn
9,1939,300,300,373,300,101,373.0,7901,cnn
10,2046,300,300,374,300,107,374.0,7909,cnn
11,2151,300,300,373,450,105,373.0,8185,cnn
12,2250,300,450,0,404,99,0.0,7833,cnn
13,2347,300,404,85,409,97,85.0,8030,cnn
14,2449,300,409,0,381,102,0.0,8046,cnn
15,2546,300,381,9,369,97,9.0,8117,cnn
16,2646,300,369,0,359,100,0.0,8085,cnn
17,2748,300,359,2,355,102,2.0,11561,cnn
18,2846,300,355,2,352,98,2.0,8199,cnn
19,2946,300,352,4,352,100,4.0,8376,cnn
20,3246,300,352,4,352,300,4.0,11538,cnn
21,3363,300,352,4,352,117,4.0,8219,cnn
22,3451,300,352,4,352,88,4.0,11636,cnn
23,3558,300,352,4,352,107,4.0,8220,cnn
24,3857,300,352,4,352,299,4.0,8231,cnn
25,3947,300,352,4,352,90,4.0,8209,cnn
26,4054,300,352,4,352,107,4.0,8151,cnn
27,4151,300,352,4,352,97,4.0,10478,cnn
28,4472,300,352,4,352,321,4.0,8333,cnn
29,4580,300,352,4,352,108,4.0,7991,cnn
30,4678,300,352,4,352,98,4.0,8175,cnn
31,5018,300,352,4,352,340,4.0,8093,cnn
32,5127,800,352,640,573,109,640.0,11370,cnn
33,5229,800,573,645,694,102,645.0,8317,cnn
34,5567,800,694,631,750,338,631.0,15005,cnn
35,5665,800,750,677,793,98,677.0,8444,cnn
36,5766,800,793,627,795,101,627.0,8998,cnn
37,6103,800,795,649,804,337,649.0,8459,cnn
38,6209,800,804,646,807,106,646.0,11444,cnn
39,6308,800,807,647,808,99,647.0,8594,cnn
40,6601,800,808,649,810,293,649.0,8478,cnn
41,6701,800,810,648,811,100,648.0,8866,cnn
42,6799,800,811,649,812,98,649.0,8960,cnn
43,6898,800,812,648,811,99,648.0,8288,cnn
44,7250,800,811,650,812,352,650.0,8492,cnn
45,7349,800,812,649,811,99,649.0,11951,cnn
46,7452,800,811,651,812,103,651.0,8547,cnn
47,7752,800,812,650,812,300,650.0,8377,cnn
48,7847,800,812,651,812,95,651.0,8176,cnn
49,7947,800,812,651,812,100,651.0,8511,cnn
50,8037,800,812,651,812,90,651.0,8434,cnn
51,8359,800,812,652,812,322,652.0,8402,cnn
52,8446,800,812,652,812,87,652.0,8479,cnn
