sample,elapsed_ms,target,state_before,control_value,state_after,rtt_ms,model_output,infer_us,mode
1,169,300,300,24,179,129,24.0,28168,cnn
2,267,300,179,236,180,98,236.0,11417,cnn
3,987,300,180,361,225,720,361.0,8095,cnn
4,1132,300,225,381,258,145,381.0,8025,cnn
5,1228,300,258,391,282,96,391.0,7816,cnn
6,1325,300,282,378,291,97,378.0,7881,cnn
7,1431,300,291,377,296,106,377.0,8244,cnn
8,1528,300,296,379,300,97,379.0,7843,cnn
9,1627,300,300,373,300,99,373.0,7841,cnn
10,1727,300,300,374,300,100,374.0,8236,cnn
11,1825,300,300,373,300,98,373.0,8130,cnn
12,1926,300,300,372,300,101,372.0,8401,cnn
13,2025,300,300,371,299,99,371.0,8351,cnn
14,2131,300,299,373,449,106,373.0,8939,cnn
15,2232,300,449,0,403,101,0.0,8130,cnn
16,2532,300,403,84,408,300,84.0,8396,cnn
17,2649,300,408,0,382,117,0.0,8227,cnn
18,2746,300,382,8,370,97,8.0,11298,cnn
19,2848,300,370,0,360,102,0.0,7914,cnn
20,3153,300,360,2,355,305,2.0,11281,cnn
21,3250,300,355,3,352,97,3.0,8329,cnn
22,3349,300,352,4,352,99,4.0,7973,cnn
23,3457,300,352,4,352,108,4.0,7958,cnn
24,3758,300,352,4,352,301,4.0,12979,cnn
25,3857,300,352,4,352,99,4.0,8385,cnn
26,3967,300,352,4,352,110,4.0,8163,cnn
27,4253,300,352,4,352,286,4.0,8182,cnn
28,4361,300,352,4,352,108,4.0,11747,cnn
29,4460,300,352,4,352,99,4.0,11780,cnn
30,4559,300,352,4,352,99,4.0,8295,cnn
31,4880,300,352,4,352,321,4.0,8252,cnn
32,4980,300,352,4,352,100,4.0,8468,cnn
33,5077,300,352,4,352,97,4.0,7992,cnn
34,5368,800,352,640,573,291,640.0,8060,cnn
35,5466,800,573,645,694,98,645.0,8270,cnn
36,5566,800,694,631,750,100,631.0,8403,cnn
37,5867,800,750,677,793,301,677.0,8544,cnn
38,5997,800,793,627,795,130,627.0,8472,cnn
39,6107,800,795,649,804,110,649.0,11759,cnn
40,6206,800,804,646,807,99,646.0,8868,cnn
41,6517,800,807,647,808,311,647.0,8422,cnn
42,6628,800,808,649,810,111,649.0,8645,cnn
43,6727,800,810,648,811,99,648.0,11678,cnn
44,7026,800,811,649,812,299,649.0,8717,cnn
45,7126,800,812,648,811,100,648.0,8572,cnn
46,7226,800,811,650,812,100,650.0,11760,cnn
47,7326,800,812,649,811,100,649.0,9176,cnn
48,7637,800,811,651,812,311,651.0,13119,cnn
49,7738,800,812,650,812,101,650.0,8754,cnn
50,7839,800,812,651,812,101,651.0,8712,cnn
51,8137,800,812,651,812,298,651.0,9032,cnn
52,8247,800,812,651,812,110,651.0,12002,cnn
53,8346,800,812,652,812,99,652.0,9053,cnn
54,8647,800,812,652,812,301,652.0,8603,cnn
55,8767,800,812,652,812,120,652.0,8554,cnn
56,8865,800,812,652,812,98,652.0,8934,cnn
57,8965,800,812,653,813,100,653.0,8575,cnn
58,9288,800,813,651,813,323,651.0,8744,cnn
59,9387,800,813,651,813,99,651.0,8639,cnn
60,9499,800,813,651,813,112,651.0,8580,cnn
61,9788,800,813,651,813,289,651.0,8417,cnn
62,9916,800,813,647,811,128,647.0,8553,cnn
63,10026,800,811,646,811,110,646.0,8689,cnn
64,10345,800,811,648,811,319,648.0,9049,cnn
65,10463,800,811,648,811,118,648.0,15316,cnn
66,10569,800,811,647,811,106,647.0,8885,cnn
67,10873,800,811,645,810,304,645.0,11975,cnn
68,11001,800,810,645,810,128,645.0,8536,cnn
69,11105,800,810,644,659,104,644.0,12062,cnn
70,11205,800,659,872,666,100,872.0,11874,cnn
71,11526,800,666,1000,714,321,1000.0,13679,cnn
72,11627,800,714,1000,738,101,1000.0,9211,cnn
73,11726,800,738,1000,749,99,1000.0,9084,cnn
74,12033,800,749,1000,754,307,1000.0,8723,cnn
75,12139,800,754,1000,757,106,1000.0,9030,cnn
76,12246,800,757,1000,759,107,1000.0,8874,cnn
77,12532,800,759,999,759,286,999.0,8609,cnn
78,12651,800,759,998,758,119,998.0,11333,cnn
79,12752,800,758,997,758,101,997.0,10716,cnn
80,12863,800,758,997,758,111,997.0,11261,cnn
81,13185,800,758,997,758,322,997.0,8638,cnn
82,13285,800,758,997,758,100,997.0,8633,cnn
83,13385,800,758,997,758,100,997.0,8660,cnn
84,13693,800,758,997,758,308,997.0,8611,cnn
85,13793,800,758,997,758,100,997.0,8769,cnn
86,13904,800,758,997,758,111,997.0,8699,cnn
87,14007,800,758,997,758,103,997.0,8843,cnn
88,14324,800,758,997,758,317,997.0,13163,cnn
89,14428,800,758,997,758,104,997.0,8583,cnn
90,14529,800,758,997,758,101,997.0,8662,cnn
91,14873,800,758,997,758,344,997.0,13145,cnn
92,14982,800,758,997,758,109,997.0,8567,cnn
93,15089,800,758,996,758,107,996.0,11730,cnn
94,15415,500,758,642,635,326,642.0,11616,cnn
95,15513,500,635,798,629,98,798.0,8338,cnn
96,15615,500,629,664,579,102,664.0,8276,cnn
97,15926,500,579,712,570,311,712.0,8970,cnn
98,16049,500,570,672,552,123,672.0,8781,cnn
99,16147,500,552,671,542,98,671.0,8403,cnn
100,16449,500,542,656,531,302,656.0,8236,cnn
101,16572,500,531,651,525,123,651.0,11549,cnn
102,16673,500,525,643,518,101,643.0,8197,cnn
103,16777,500,518,642,514,104,642.0,8300,cnn
104,17110,500,514,639,511,333,639.0,8199,cnn
105,17216,500,511,638,509,106,638.0,11494,cnn
106,17319,500,509,637,507,103,637.0,8031,cnn
107,17645,500,507,637,507,326,637.0,8680,cnn
108,17748,500,507,637,507,103,637.0,8360,cnn
109,17852,500,507,636,507,104,636.0,11501,cnn
110,18177,500,507,636,507,325,636.0,8307,cnn
111,18286,500,507,635,506,109,635.0,8611,cnn
112,18388,500,506,636,506,102,636.0,8782,cnn
113,18695,500,506,636,506,307,636.0,8338,cnn
114,18793,500,506,636,506,98,636.0,8280,cnn
115,18893,500,506,636,506,100,636.0,8343,cnn
116,19208,500,506,636,506,315,636.0,11698,cnn
117,19329,500,506,636,506,121,636.0,8394,cnn
118,19443,500,506,636,506,114,636.0,12055,cnn
119,19545,500,506,636,506,102,636.0,8631,cnn
120,19881,500,506,636,506,336,636.0,8264,cnn
121,19988,500,506,636,506,107,636.0,11973,cnn
122,20089,500,506,636,506,101,636.0,11394,cnn
123,20421,500,506,636,506,332,636.0,8232,cnn
