sample,elapsed_ms,target,state_before,control_value,state_after,rtt_ms,model_output,infer_us,mode
1,548,500,300,400,310,246,400.0,6,yolo
2,1306,419,310,218,252,758,218.0,123,yolo
3,1430,519,252,534,328,124,534.0,2,yolo
4,1552,519,328,382,319,122,382.0,1,yolo
5,1674,419,319,200,251,122,200.0,2,yolo
6,1789,519,251,536,328,115,536.0,2,yolo
7,1898,519,328,382,319,109,382.0,0,yolo
8,2002,419,319,200,251,104,200.0,2,yolo
9,2118,519,251,536,478,116,536.0,2,yolo
10,2227,519,478,82,448,109,82.0,1,yolo
11,2338,419,448,0,403,111,0.0,2,yolo
12,2448,519,403,232,460,110,232.0,3,yolo
13,2558,519,460,118,451,110,118.0,0,yolo
14,2668,419,451,0,405,110,0.0,2,yolo
15,2778,519,405,228,460,110,228.0,2,yolo
16,2886,519,460,118,451,108,118.0,0,yolo
17,3000,419,451,0,405,114,0.0,3,yolo
18,3366,519,405,228,460,366,228.0,2,yolo
19,3488,519,460,118,451,122,118.0,1,yolo
20,3609,419,451,0,405,121,0.0,2,yolo
21,3942,519,405,228,460,333,228.0,2,yolo
22,4052,519,460,118,451,110,118.0,1,yolo
23,4163,419,451,0,405,111,0.0,2,yolo
24,4504,519,405,228,460,341,228.0,2,yolo
25,4615,519,460,118,451,111,118.0,0,yolo
26,4726,419,451,0,405,111,0.0,2,yolo
27,5083,519,405,228,460,357,228.0,3,yolo
28,5196,519,460,118,451,113,118.0,1,yolo
29,5554,419,451,0,405,358,0.0,2,yolo
30,5674,519,405,228,460,120,228.0,2,yolo
31,5784,519,460,118,451,110,118.0,0,yolo
32,6134,419,451,0,405,350,0.0,2,yolo
33,6256,519,405,228,460,122,228.0,2,yolo
34,6364,519,460,118,451,108,118.0,1,yolo
35,6687,419,451,0,405,323,0.0,2,yolo
36,6797,519,405,228,460,110,228.0,2,yolo
37,6906,519,460,118,451,109,118.0,1,yolo
38,7260,419,451,0,405,354,0.0,3,yolo
39,7371,519,405,228,460,111,228.0,3,yolo
40,7478,519,460,118,451,107,118.0,1,yolo
41,7830,419,451,0,405,352,0.0,2,yolo
42,7943,519,405,228,460,113,228.0,2,yolo
43,8057,519,460,118,451,114,118.0,1,yolo
44,8398,419,451,0,405,341,0.0,2,yolo
45,8520,519,405,228,460,122,228.0,2,yolo
46,8642,519,460,118,451,122,118.0,1,yolo
47,8975,419,451,0,405,333,0.0,2,yolo
48,9088,519,405,228,460,113,228.0,2,yolo
49,9200,519,460,118,451,112,118.0,0,yolo
50,9540,419,451,0,405,340,0.0,2,yolo
51,9654,519,405,228,460,114,228.0,2,yolo
52,9764,519,460,118,451,110,118.0,0,yolo
53,10109,419,451,0,405,345,0.0,3,yolo
54,10223,519,405,228,460,114,228.0,2,yolo
55,10333,519,460,118,451,110,118.0,1,yolo
56,10694,419,451,0,405,361,0.0,3,yolo
57,10807,519,405,228,460,113,228.0,2,yolo
58,11173,519,460,118,301,366,118.0,1,yolo
59,11286,419,301,236,254,113,236.0,2,yolo
60,11399,519,254,530,328,113,530.0,2,yolo
61,11724,519,328,382,319,325,382.0,0,yolo
62,11836,419,319,200,251,112,200.0,2,yolo
63,11949,519,251,536,328,113,536.0,2,yolo
64,12308,519,328,382,319,359,382.0,1,yolo
65,12422,419,319,200,251,114,200.0,2,yolo
66,12535,519,251,536,328,113,536.0,2,yolo
67,12895,519,328,382,319,360,382.0,0,yolo
68,13008,419,319,200,251,113,200.0,2,yolo
69,13388,519,251,536,328,380,536.0,2,yolo
70,13499,519,328,382,319,111,382.0,1,yolo
71,13610,419,319,200,251,111,200.0,2,yolo
72,13959,519,251,536,328,349,536.0,2,yolo
73,14069,519,328,382,319,110,382.0,0,yolo
74,14191,419,319,200,251,122,200.0,3,yolo
75,14546,519,251,536,328,355,536.0,2,yolo
76,14657,519,328,382,319,111,382.0,0,yolo
77,14766,419,319,200,251,109,200.0,2,yolo
78,15113,519,251,536,328,347,536.0,2,yolo
79,15222,519,328,382,319,109,382.0,1,yolo
80,15334,419,319,200,251,112,200.0,3,yolo
81,15675,519,251,536,328,341,536.0,2,yolo
82,15787,519,328,382,319,112,382.0,1,yolo
83,15898,419,319,200,251,111,200.0,2,yolo
84,16233,519,251,536,328,335,536.0,2,yolo
85,16345,519,328,382,319,112,382.0,1,yolo
86,16456,419,319,200,251,111,200.0,2,yolo
87,16780,519,251,536,328,324,536.0,2,yolo
88,16890,519,328,382,319,110,382.0,1,yolo
89,17002,419,319,200,251,112,200.0,2,yolo
90,17322,519,251,536,328,320,536.0,2,yolo
91,17430,519,328,382,319,108,382.0,1,yolo
92,17550,419,319,200,251,120,200.0,2,yolo
93,17870,519,251,536,328,320,536.0,2,yolo
94,17981,519,328,382,319,111,382.0,1,yolo
95,18096,419,319,200,251,115,200.0,2,yolo
96,18436,519,251,536,328,340,536.0,2,yolo
97,18546,519,328,382,319,110,382.0,1,yolo
98,18660,419,319,200,251,114,200.0,2,yolo
99,19010,519,251,536,328,350,536.0,2,yolo
100,19126,519,328,382,319,116,382.0,0,yolo
101,19239,419,319,200,251,113,200.0,2,yolo
102,19562,519,251,536,328,323,536.0,2,yolo
103,19677,519,328,382,319,115,382.0,1,yolo
104,19795,419,319,200,251,118,200.0,2,yolo
105,20144,519,251,536,328,349,536.0,2,yolo
106,20266,519,328,382,319,122,382.0,1,yolo
107,20380,419,319,200,251,114,200.0,3,yolo
108,20723,519,251,536,328,343,536.0,2,yolo
