sample,elapsed_ms,target,state_before,control_value,state_after,rtt_ms,model_output,infer_us,mode
1,148,300,300,24,179,126,24.0,14504,ai
2,233,300,179,236,180,85,236.0,8523,ai
3,339,300,180,361,225,106,361.0,8060,ai
4,442,300,225,381,258,103,381.0,8284,ai
5,541,300,258,391,282,99,391.0,8247,ai
6,645,300,282,378,291,104,378.0,8939,ai
7,733,300,291,377,296,88,377.0,10499,ai
8,846,300,296,379,300,113,379.0,12211,ai
9,933,300,300,373,300,87,373.0,8908,ai
10,1053,300,300,374,300,120,374.0,9022,ai
11,1134,300,300,373,300,81,373.0,9582,ai
12,1260,300,300,372,300,126,372.0,13291,ai
13,1345,300,300,371,299,85,371.0,9303,ai
14,1466,300,299,373,299,121,373.0,12685,ai
15,1566,300,299,373,299,100,373.0,8869,ai
16,1653,300,299,373,299,87,373.0,9058,ai
17,1773,300,299,373,299,120,373.0,13050,ai
18,1877,300,299,373,299,104,373.0,9747,ai
19,1978,300,299,373,299,101,373.0,9410,ai
20,2064,300,299,373,299,86,373.0,9159,ai
21,2173,300,299,373,299,109,373.0,12093,ai
22,2269,300,299,373,299,96,373.0,9064,ai
23,2373,300,299,373,299,104,373.0,10087,ai
24,2462,300,299,373,299,89,373.0,9631,ai
25,2569,300,299,373,299,107,373.0,12805,ai
26,2675,300,299,373,299,106,373.0,13910,ai
27,2762,300,299,373,299,87,373.0,9290,ai
28,2871,300,299,373,299,109,373.0,8336,ai
29,2953,300,299,373,299,82,373.0,10327,ai
30,3071,300,299,373,299,118,373.0,10038,ai
31,3153,300,299,373,299,82,373.0,11002,ai
32,3280,300,299,373,299,127,373.0,12974,ai
33,3379,300,299,373,299,99,373.0,10343,ai
34,3463,300,299,373,299,84,373.0,8933,ai
35,3580,300,299,373,299,117,373.0,12251,ai
36,3682,300,299,373,449,102,373.0,11233,ai
37,3783,300,449,0,403,101,0.0,8968,ai
38,3893,300,403,85,408,110,85.0,10715,ai
39,3983,300,408,0,382,90,0.0,12336,ai
40,4105,300,382,9,370,122,9.0,13754,ai
41,4192,300,370,0,360,87,0.0,9062,ai
42,4309,300,360,2,355,117,2.0,13390,ai
43,4393,300,355,3,352,84,3.0,9340,ai
44,4512,300,352,4,352,119,4.0,13091,ai
45,4611,300,352,4,352,99,4.0,11152,ai
46,4702,300,352,4,352,91,4.0,9780,ai
47,4824,300,352,4,352,122,4.0,13474,ai
48,4922,300,352,4,352,98,4.0,11328,ai
49,5029,300,352,4,352,107,4.0,15581,ai
