sequence,input0_bits,input1_bits,input2_bits,input3_bits,output_bits,actuator_permille,wall_ns,device_us
1,3f000000,3ea00000,00000000,00000000,3f738000,951,22901083,16695
2,3efd46b2,3ea00000,3e883127,3f7374bc,3f7dc000,991,1997625,1908
3,3efa708f,3ea00000,3e8dd2f2,3f7db22d,3f7c8000,986,1920041,1833
4,3ef7a249,3ea00000,3e8c49ba,3f7c6a7f,3f7aa000,979,1815625,1729
5,3ef4de7f,3ea00000,3e8a3d71,3f7a9fbe,3f78e000,972,1773917,1686
6,3ef21ff3,3ea00000,3e89374c,3f78d4fe,3f770000,965,1715584,1627
7,3eef6944,3ea00000,3e87ae14,3f770a3d,3f752000,958,1684375,1596
8,3eecba73,3ea00000,3e8624dd,3f753f7d,3f736000,951,1684666,1597
9,3eea137f,3ea00000,3e849ba6,3f7374bc,3f71a000,944,1678250,1591
10,3ee77708,3ea00000,3e828f5c,3f71a9fc,3f700000,938,1681166,1593
11,3ee4dfce,3ea00000,3e818937,3f7020c5,3f6e4000,931,1680292,1593
12,3ee25072,3ea00000,3e800000,3f6e5604,3f6c8000,924,1686417,1598
13,3edfc654,3ea00000,3e7df3b6,3f6c8b44,3f6ac000,917,1679417,1592
14,3edd46b2,3ea00000,3e79db23,3f6ac083,3f692000,911,1684667,1597
15,3edaceee,3ea00000,3e76c8b4,3f69374c,3f678000,904,1703917,1595
16,3ed85c68,3ea00000,3e74bc6a,3f676c8b,3f65e000,898,1710334,1620
17,3ed5f1bf,3ea00000,3e71a9fc,3f65e354,3f644000,892,1708583,1618
18,3ed38ef3,3ea00000,3e6e978d,3f645a1d,3f62a000,885,1721709,1631
19,3ed13166,3ea00000,3e6c8b44,3f628f5c,3f612000,879,1719667,1629
20,3ecede55,3ea00000,3e6872b0,3f610625,3f5fa000,874,1717625,1627
21,3ecc8de3,3ea00000,3e676c8b,3f5fbe77,3f5e0000,867,1717042,1628
22,3eca454e,3ea00000,3e645a1d,3f5df3b6,3f5c8000,861,1720250,1630
23,3ec80496,3ea00000,3e6147ae,3f5c6a7f,3f5b0000,855,1713833,1624
24,3ec5cbbc,3ea00000,3e5e353f,3f5ae148,3f598000,850,1720250,1632
25,3ec39581,3ea00000,3e5d2f1b,3f59999a,3f580000,844,1719958,1632
26,3ec169c2,3ea00000,3e591687,3f581062,3f56a000,838,1720833,1633
27,3ebf4342,3ea00000,3e570a3d,3f56872b,3f552000,833,1719958,1632
28,3ebd21ff,3ea00000,3e54fdf4,3f553f7d,3f53c000,827,1720250,1632
29,3ebb05fb,3ea00000,3e52f1aa,3f53b646,3f526000,822,1724042,1636
30,3eb8f1d4,3ea00000,3e4fdf3b,3f526e98,3f510000,816,1715875,1628
31,3eb6e2eb,3ea00000,3e4dd2f2,3f50e560,3f4fa000,811,1719084,1631
32,3eb4dbe0,3ea00000,3e4ac083,3f4f9db2,3f4e4000,806,1723750,1635
33,3eb2d773,3ea00000,3e49ba5e,3f4e5604,3f4ce000,800,1722583,1634
34,3eb0dd83,3ea00000,3e45a1cb,3f4ccccd,3f4ba000,795,1717333,1629
35,3eaee632,3ea00000,3e449ba6,3f4b851f,3f4a4000,790,1719083,1631
36,3eacf41f,3ea00000,3e428f5c,3f4a3d71,3f490000,785,1717333,1630
37,3eab09ea,3ea00000,3e3f7cee,3f48f5c3,3f47c000,780,1719959,1632
38,3ea924f2,3ea00000,3e3d70a4,3f47ae14,3f468000,775,1715875,1628
39,3ea74539,3ea00000,3e3b645a,3f466666,3f454000,771,1718792,1631
40,3ea5681f,3ea00000,3e3a5e35,3f456042,3f43e000,765,1712084,1625
41,3ea39581,3ea00000,3e3645a2,3f43d70a,3f42e000,761,1716458,1629
42,3ea1c582,3ea00000,3e353f7d,3f42d0e5,3f418000,756,1715875,1627
43,3e9ffac2,3ea00000,3e333333,3f418937,3f406000,751,1709167,1621
44,3e9e353f,3ea00000,3e3126e9,3f404189,3f3f4000,747,1714416,1627
45,3e9c74fb,3ea00000,3e2f1aa0,3f3f3b64,3f3e0000,742,1714417,1626
46,3e9ab9f5,3ea00000,3e2d0e56,3f3df3b6,3f3ce000,738,1709167,1621
47,3e99042e,3ea00000,3e2b020c,3f3ced91,3f3bc000,733,1705958,1619
48,3e9753a4,3ea00000,3e28f5c3,3f3ba5e3,3f3aa000,729,1702166,1615
49,3e95a858,3ea00000,3e26e979,3f3a9fbe,3f398000,725,1698083,1596
50,3e93ffac,3ea00000,3e25e354,3f39999a,3f386000,720,1677667,1590
51,3e925edd,3ea00000,3e22d0e5,3f3851ec,3f376000,716,1679125,1592
52,3e90c0ad,3ea00000,3e21cac1,3f374bc7,3f364000,712,1682333,1594
53,3e8f27bb,3ea00000,3e1fbe77,3f3645a2,3f352000,708,1680292,1592
54,3e8d9408,3ea00000,3e1db22d,3f353f7d,3f342000,704,1680584,1594
55,3e8c0592,3ea00000,3e1ba5e3,3f343958,3f332000,700,1680292,1593
56,3e8a79bc,3ea00000,3e1a9fbe,3f333333,3f322000,696,1680584,1594
57,3e88f323,3ea00000,3e189375,3f322d0e,3f312000,692,1679708,1592
58,3e8771c9,3ea00000,3e16872b,3f3126e9,3f302000,688,1680583,1593
59,3e85f30e,3ea00000,3e158106,3f3020c5,3f2f2000,684,1680292,1593
60,3e847c31,3ea00000,3e126e98,3f2f1aa0,3f2e2000,680,1682917,1596
61,3e830553,3ea00000,3e126e98,3f2e147b,3f2d2000,676,1680292,1593
62,3e819653,3ea00000,3e0f5c29,3f2d0e56,3f2c4000,673,1684083,1597
63,3e8029f1,3ea00000,3e0e5604,3f2c49ba,3f2b4000,669,1676500,1590
64,3e7d805e,3ea00000,3e0d4fdf,3f2b4396,3f2a4000,665,1679708,1592
65,3e7abc94,3ea00000,3e0a3d71,3f2a3d71,3f296000,662,1677958,1590
66,3e77f8cb,3ea00000,3e0a3d71,3f2978d5,3f286000,658,1686125,1598
67,3e7544bb,3ea00000,3e072b02,3f2872b0,3f27a000,655,1681459,1593
68,3e7290ac,3ea00000,3e072b02,3f27ae14,3f26a000,651,1680292,1593
69,3e6fec57,3ea00000,3e041893,3f26a7f0,3f25c000,647,1682625,1596
70,3e6d4d40,3ea00000,3e03126f,3f25a1cb,3f24e000,644,1682916,1594
71,3e6ab368,3ea00000,3e020c4a,3f24dd2f,3f240000,641,1683792,1596
72,3e68240b,3ea00000,3e000000,3f241893,3f234000,638,1687000,1600
73,3e6599ed,3ea00000,3dfdf3b6,3f2353f8,3f226000,634,1680291,1593
74,3e63150e,3ea00000,3dfbe76d,3f224dd3,3f218000,631,1681750,1594
75,3e609aaa,3ea00000,3df7ced9,3f218937,3f20a000,627,1679125,1592
76,3e5e2ac3,3ea00000,3df3b646,3f208312,3f1fe000,625,1681167,1594
77,3e5bc01a,3ea00000,3df1a9fc,3f200000,3f1f2000,622,1675041,1588
78,3e595aaf,3ea00000,3def9db2,3f1f3b64,3f1e4000,618,1679417,1591
79,3e56fa83,3ea00000,3ded9168,3f1e353f,3f1d8000,615,1674167,1587
80,3e54a4d3,3ea00000,3de978d5,3f1d70a4,3f1cc000,612,1681750,1595
81,3e525461,3ea00000,3de76c8b,3f1cac08,3f1be000,609,1675333,1588
82,3e50092d,3ea00000,3de56042,3f1be76d,3f1b2000,606,1684083,1596
83,3e4dc875,3ea00000,3de147ae,3f1b22d1,3f1a6000,603,1677958,1590
84,3e4b8cfc,3ea00000,3ddf3b64,3f1a5e35,3f19a000,600,1678250,1591
85,3e4956c1,3ea00000,3ddd2f1b,3f19999a,3f18e000,597,1678542,1591
86,3e472b02,3ea00000,3dd91687,3f18d4fe,3f184000,595,1676792,1589
87,3e44ff43,3ea00000,3dd91687,3f1851ec,3f178000,592,1675042,1588
88,3e42de01,3ea00000,3dd4fdf4,3f178d50,3f16c000,589,1681458,1593
89,3e40c1fd,3ea00000,3dd2f1aa,3f16c8b4,3f162000,586,1678250,1591
90,3e3eab36,3ea00000,3dd0e560,3f160419,3f156000,583,1681750,1595
91,3e3c9eed,3ea00000,3dcccccd,3f153f7d,3f14c000,581,1678834,1591
92,3e3a92a3,3ea00000,3dcccccd,3f14bc6a,3f140000,578,1681458,1594
93,3e3890d6,3ea00000,3dc8b439,3f13f7cf,3f136000,576,1677084,1589
94,3e369446,3ea00000,3dc6a7f0,3f1374bc,3f12c000,573,1679709,1593
95,3e349cf5,3ea00000,3dc49ba6,3f12b021,3f120000,570,1680584,1593
96,3e32aae3,3ea00000,3dc28f5c,3f11eb85,3f116000,568,1683209,1594
97,3e30be0e,3ea00000,3dc08312,3f116873,3f10c000,565,1678541,1592
98,3e2ed677,3ea00000,3dbe76c9,3f10a3d7,3f102000,563,1679709,1592
99,3e2cf41f,3ea00000,3dbc6a7f,3f1020c5,3f0f8000,561,1680000,1592
100,3e2b1705,3ea00000,3dba5e35,3f0f9db2,3f0ee000,558,1682334,1594
101,3e294467,3ea00000,3db645a2,3f0ed917,3f0e4000,556,1677958,1590
102,3e2771c9,3ea00000,3db645a2,3f0e5604,3f0da000,553,1680875,1593
103,3e25a46a,3ea00000,3db43958,3f0d9168,3f0d0000,551,1675916,1589
104,3e23e187,3ea00000,3db020c5,3f0d0e56,3f0c8000,549,1678250,1592
105,3e221ea3,3ea00000,3db020c5,3f0c8b44,3f0be000,546,1676792,1589
106,3e20663c,3ea00000,3dac0831,3f0bc6a8,3f0b6000,544,1677959,1590
107,3e1eadd6,3ea00000,3dac0831,3f0b4396,3f0ac000,542,1677375,1590
108,3e1cfaad,3ea00000,3da9fbe7,3f0ac083,3f0a2000,540,1677375,1591
109,3e1b4cc2,3ea00000,3da7ef9e,3f0a3d71,3f09a000,538,1678541,1591
110,3e19a416,3ea00000,3da5e354,3f09ba5e,3f092000,536,1680875,1594
111,3e1800a8,3ea00000,3da3d70a,3f09374c,3f088000,533,1674459,1587
112,3e166278,3ea00000,3da1cac1,3f0872b0,3f080000,531,1681166,1594
113,3e14c986,3ea00000,3d9fbe77,3f07ef9e,3f076000,529,1680584,1593
114,3e1335d2,3ea00000,3d9db22d,3f076c8b,3f070000,527,1678250,1592
115,3e11a75d,3ea00000,3d9ba5e3,3f06e979,3f066000,525,1677083,1589
116,3e1018e7,3ea00000,3d9ba5e3,3f066666,3f05e000,523,1680000,1592
117,3e0e94ee,3ea00000,3d978d50,3f05e354,3f056000,521,1680875,1593
118,3e0d10f5,3ea00000,3d978d50,3f056042,3f04e000,519,1681166,1593
119,3e0b923a,3ea00000,3d958106,3f04dd2f,3f046000,517,1677667,1591
120,3e0a18bd,3ea00000,3d9374bc,3f045a1d,3f03e000,515,1679416,1592
121,3e08a47f,3ea00000,3d916873,3f03d70a,3f036000,513,1677083,1590
122,3e07357e,3ea00000,3d8f5c29,3f0353f8,3f030000,512,1683792,1597
123,3e05c67e,3ea00000,3d8f5c29,3f03126f,3f028000,510,1676208,1589
124,3e045cbc,3ea00000,3d8d4fdf,3f028f5c,3f020000,508,1682041,1594
125,3e02f838,3ea00000,3d8b4396,3f020c4a,3f018000,506,1680000,1593
126,3e0198f2,3ea00000,3d89374c,3f018937,3f012000,504,1678542,1590
127,3e0039ac,3ea00000,3d89374c,3f010625,3f00a000,502,1677083,1589
128,3dfdc9c5,3ea00000,3d851eb8,3f008312,3f004000,501,1680583,1593
129,3dfb15b5,3ea00000,3d872b02,3f004189,3eff6000,499,1677084,1591
130,3df8769f,3ea00000,3d83126f,3eff7cee,3efea000,497,1708000,1622
131,3df5e204,3ea00000,3d810625,3efe76c9,3efdc000,496,1677958,1591
132,3df34d6a,3ea00000,3d810625,3efdf3b6,3efce000,494,1677959,1591
133,3df0c34c,3ea00000,3d7df3b6,3efced91,3efc0000,492,1679125,1592
134,3dee43aa,3ea00000,3d79db23,3efbe76d,3efb4000,491,1676792,1589
135,3debc409,3ea00000,3d79db23,3efb645a,3efa6000,489,1710625,1591
136,3de94ee4,3ea00000,3d75c28f,3efa5e35,3ef98000,487,1713834,1623
137,3de6e43b,3ea00000,3d71a9fc,3ef95810,3ef8c000,486,1726959,1637
138,3de47992,3ea00000,3d71a9fc,3ef8d4fe,3ef7e000,484,1726375,1637
139,3de21965,3ea00000,3d6d9168,3ef7ced9,3ef72000,483,1727541,1637
140,3ddfc3b5,3ea00000,3d6978d5,3ef74bc7,3ef66000,481,1726083,1636
141,3ddd6e05,3ea00000,3d6978d5,3ef645a2,3ef58000,479,1720833,1631
142,3ddb2d4d,3ea00000,3d6147ae,3ef53f7d,3ef4e000,478,1723167,1634
143,3dd8e219,3ea00000,3d656042,3ef4bc6a,3ef40000,477,1729000,1640
144,3dd6abde,3ea00000,3d5d2f1b,3ef43958,3ef36000,475,1726958,1639
145,3dd475a3,3ea00000,3d5d2f1b,3ef33333,3ef2a000,474,1728416,1641
146,3dd23f68,3ea00000,3d5d2f1b,3ef2b021,3ef1e000,472,1724625,1636
147,3dd01e26,3ea00000,3d54fdf4,3ef1a9fc,3ef14000,471,1725208,1638
148,3dcdf267,3ea00000,3d591687,3ef126e9,3ef06000,469,1750583,1636
149,3dcbdba1,3ea00000,3d50e560,3ef020c5,3eefc000,468,1757875,1668
150,3dc9c4db,3ea00000,3d50e560,3eef9db2,3eef0000,467,1754958,1665
151,3dc7b891,3ea00000,3d4ccccd,3eef1aa0,3eee6000,466,1768958,1680
152,3dc5ac47,3ea00000,3d4ccccd,3eee978d,3eedc000,464,1770125,1680
153,3dc39ffd,3ea00000,3d4ccccd,3eed9168,3eed0000,463,1762541,1673
154,3dc1a8ac,3ea00000,3d449ba6,3eed0e56,3eec6000,462,1759334,1670
155,3dbfa6df,3ea00000,3d48b439,3eec8b44,3eeba000,460,1763708,1674
156,3dbdba0a,3ea00000,3d408312,3eeb851f,3eeb2000,459,1762833,1675
157,3dbbcd36,3ea00000,3d408312,3eeb020c,3eea6000,458,1764875,1677
158,3db9e061,3ea00000,3d408312,3eea7efa,3ee9c000,457,1760500,1673
159,3db7fe09,3ea00000,3d3c6a7f,3ee9fbe7,3ee92000,455,1763417,1675
160,3db6262d,3ea00000,3d3851ec,3ee8f5c3,3ee88000,454,1757875,1670
161,3db44e51,3ea00000,3d3851ec,3ee872b0,3ee7e000,453,1755250,1668
162,3db27675,3ea00000,3d3851ec,3ee7ef9e,3ee74000,452,1762541,1675
163,3db0a915,3ea00000,3d343958,3ee76c8b,3ee6c000,451,1764292,1676
164,3daee632,3ea00000,3d3020c5,3ee6e979,3ee62000,449,1751750,1664
165,3dad234f,3ea00000,3d3020c5,3ee5e354,3ee58000,448,1752625,1665
166,3dab6ae8,3ea00000,3d2c0831,3ee56042,3ee50000,447,1746792,1636
167,3da9b281,3ea00000,3d2c0831,3ee4dd2f,3ee46000,446,1750292,1637
168,3da7fa1a,3ea00000,3d2c0831,3ee45a1d,3ee3c000,445,1717042,1630
169,3da64c30,3ea00000,3d27ef9e,3ee3d70a,3ee34000,444,1722875,1635
170,3da4a8c1,3ea00000,3d23d70a,3ee353f8,3ee2c000,443,1721709,1634
171,3da30553,3ea00000,3d23d70a,3ee2d0e5,3ee22000,442,1720833,1633
172,3da161e5,3ea00000,3d23d70a,3ee24dd3,3ee1a000,441,1719375,1632
173,3d9fc8f3,3ea00000,3d1fbe77,3ee1cac1,3ee12000,440,1718500,1631
174,3d9e3001,3ea00000,3d1fbe77,3ee147ae,3ee0a000,439,1713541,1627
175,3d9ca18c,3ea00000,3d1ba5e3,3ee0c49c,3ee02000,438,1711500,1623
176,3d9b1316,3ea00000,3d1ba5e3,3ee04189,3edf8000,437,1711208,1623
177,3d9984a1,3ea00000,3d1ba5e3,3edfbe77,3edf0000,436,1721125,1633
178,3d9800a8,3ea00000,3d178d50,3edf3b64,3ede8000,435,1716458,1629
179,3d967caf,3ea00000,3d178d50,3edeb852,3ede0000,434,1708583,1621
180,3d950332,3ea00000,3d1374bc,3ede353f,3edd8000,433,1706541,1619
181,3d9389b5,3ea00000,3d1374bc,3eddb22d,3edd0000,432,1705083,1596
182,3d921ab5,3ea00000,3d0f5c29,3edd2f1b,3edca000,431,1678833,1592
183,3d90abb4,3ea00000,3d0f5c29,3edcac08,3edc0000,430,1682333,1595
184,3d8f4730,3ea00000,3d0b4396,3edc28f6,3edba000,429,1676208,1589
185,3d8dd830,3ea00000,3d0f5c29,3edba5e3,3edb0000,428,1680583,1592
186,3d8c7e28,3ea00000,3d072b02,3edb22d1,3edac000,427,1677083,1590
187,3d8b19a4,3ea00000,3d0b4396,3eda9fbe,3eda2000,426,1677375,1589
188,3d89ca19,3ea00000,3d03126f,3eda1cac,3ed9e000,426,1673000,1586
189,3d887011,3ea00000,3d072b02,3eda1cac,3ed96000,425,1682625,1595
190,3d872086,3ea00000,3d03126f,3ed9999a,3ed90000,424,1675625,1588
191,3d85d0fa,3ea00000,3d03126f,3ed91687,3ed88000,423,1680291,1593
192,3d84816f,3ea00000,3d03126f,3ed89375,3ed80000,422,1679709,1593
193,3d833c60,3ea00000,3cfdf3b6,3ed81062,3ed7a000,421,1678833,1591
194,3d81f751,3ea00000,3cfdf3b6,3ed78d50,3ed72000,420,1672709,1586
195,3d80bcbe,3ea00000,3cf5c28f,3ed70a3d,3ed6c000,419,1681750,1595
196,3d7f0457,3ea00000,3cf5c28f,3ed6872b,3ed66000,419,1674166,1588
197,3d7c8f32,3ea00000,3cf5c28f,3ed6872b,3ed5e000,418,1678833,1591
198,3d7a2f06,3ea00000,3ced9168,3ed60419,3ed5a000,417,1677084,1590
199,3d77ced9,3ea00000,3ced9168,3ed58106,3ed52000,416,1679125,1593
200,3d756ead,3ea00000,3ced9168,3ed4fdf4,3ed4c000,416,1674750,1588
